time,state_true,state_pred
0,2.690625,2.690625
5,2.690625,2.690625
10,2.62325,2.62325
15,2.6015,2.6015
20,2.589625,2.589625
25,2.57625,2.57625
30,2.569125,2.569125
35,2.561375,2.561375
40,2.561375,2.561375
45,2.574875,2.574875
50,2.588375,2.588375
55,2.561,2.561
60,2.5493749999999995,2.5493749999999995
65,2.576,2.576
70,2.543,2.543
75,2.52775,2.52775
80,2.523375,2.523375
85,2.5217499999999995,2.5217499999999995
90,2.516875,2.516875
95,2.51375,2.51375
100,2.5115,2.5115
105,2.50775,2.50775
110,2.50375,2.50375
115,2.5005,2.5005
120,2.499625,2.499625
125,2.49625,2.49625
130,2.49875,2.49875
135,2.50125,2.50125
140,2.49675,2.49675
145,2.494,2.494
150,2.490875,2.490875
155,2.489125,2.489125
160,2.487375,2.487375
165,2.4845,2.4845
170,2.482375,2.482375
175,2.477875,2.477875
180,2.476125,2.476125
185,2.477125,2.477125
190,2.477125,2.477125
195,2.493625,2.493625
200,2.510125,2.510125
205,2.494625,2.494625
210,2.482625,2.482625
215,2.47425,2.47425
220,2.4695,2.4695
225,2.4655,2.4655
230,2.462875,2.462875
235,2.459125,2.459125
240,2.457,2.457
245,2.454875,2.454875
250,2.453125,2.453125
255,2.451,2.451
260,2.4495,2.4495
265,2.4475,2.4475
270,2.445,2.445
275,2.4425,2.4425
280,2.44175,2.44175
285,2.441125,2.441125
290,2.437625,2.437625
295,2.436375,2.436375
300,2.435125,2.435125
305,2.433875,2.433875
310,2.4335,2.4335
315,2.4315,2.4315
320,2.4305,2.4305
325,2.428875,2.428875
330,2.42775,2.42775
335,2.431,2.431
340,2.425125,2.425125
345,2.423125,2.423125
350,2.421125,2.421125
355,2.419125,2.419125
360,2.419125,2.419125
365,2.4445,2.4445
370,2.469875,2.469875
375,2.45,2.45
380,2.438,2.438
385,2.42925,2.42925
390,2.42325,2.42325
395,2.421,2.421
400,2.417125,2.417125
405,2.41525,2.41525
410,2.411,2.411
415,2.408375,2.408375
420,2.4075,2.4075
425,2.4055,2.4055
430,2.403125,2.403125
435,2.401875,2.401875
440,2.399625,2.399625
445,2.398625,2.398625
450,2.397625,2.397625
455,2.395625,2.395625
460,2.394375,2.394375
465,2.3935,2.3935
470,2.39225,2.39225
475,2.390625,2.390625
480,2.38925,2.38925
485,2.388125,2.388125
490,2.387125,2.387125
495,2.38575,2.38575
500,2.384375,2.384375
505,2.383,2.383
510,2.382375,2.382375
515,2.3815,2.3815
520,2.380125,2.380125
525,2.379125,2.379125
530,2.379125,2.379125
535,2.42925,2.42925
540,2.41325,2.41325
545,2.40425,2.40425
550,2.396375,2.396375
555,2.3902499999999995,2.3902499999999995
560,2.386375,2.386375
565,2.383375,2.383375
570,2.3783749999999997,2.3783749999999997
575,2.377,2.377
580,2.375375,2.375375
585,2.372375,2.372375
590,2.370375,2.370375
595,2.369375,2.369375
600,2.3675,2.3675
605,2.3655,2.3655
610,2.364875,2.364875
615,2.374375,2.374375
620,2.3595,2.3595
625,2.3595,2.3595
630,2.359,2.359
635,2.357375,2.357375
640,2.35675,2.35675
645,2.356,2.356
650,2.354375,2.354375
655,2.3535,2.3535
660,2.35225,2.35225
665,2.350625,2.350625
670,2.35,2.35
675,2.3485,2.3485
680,2.3473749999999995,2.3473749999999995
685,2.3465,2.3465
690,2.346,2.346
695,2.345375,2.345375
700,2.360666666666667,2.360666666666667
705,2.375958333333333,2.375958333333333
710,2.39125,2.39125
715,2.377625,2.377625
720,2.369375,2.369375
725,2.364625,2.364625
730,2.359125,2.359125
735,2.356125,2.356125
740,2.352125,2.352125
745,2.34825,2.34825
750,2.34725,2.34725
755,2.345875,2.345875
760,2.3435,2.3435
765,2.341,2.341
770,2.339125,2.339125
775,2.3375,2.3375
780,2.336375,2.336375
785,2.334625,2.334625
790,2.333375,2.333375
795,2.3319999999999994,2.3319999999999994
800,2.330875,2.330875
805,2.329125,2.329125
810,2.32825,2.32825
815,2.327375,2.327375
820,2.32425,2.32425
825,2.327375,2.327375
830,2.32375,2.32375
835,2.32225,2.32225
840,2.32175,2.32175
845,2.320625,2.320625
850,2.319,2.319
855,2.318,2.318
860,2.317375,2.317375
865,2.316375,2.316375
870,2.315625,2.315625
875,2.315625,2.315625
880,2.336125,2.336125
885,2.356625,2.356625
890,2.3465,2.3465
895,2.339125,2.339125
900,2.335,2.335
905,2.330875,2.330875
910,2.327875,2.327875
915,2.32575,2.32575
920,2.3235,2.3235
925,2.320875,2.320875
930,2.319125,2.319125
935,2.316,2.316
940,2.315125,2.315125
945,2.314375,2.314375
950,2.3121249999999995,2.3121249999999995
955,2.3115,2.3115
