efc,efc_actual,soh,capacity_ah,measurement_type,timestamp_s,temperature_c
0.0,0.0,98.25333333333333,2.9476,estimated,5700,25.0607
1.0,1.0005,98.25333333333333,2.9476,estimated,28410,25.5293
2.0,1.9996,98.2030935287051,2.946092805861153,estimated,165000,25.0133
3.0,2.9986,98.14671976163379,2.9444015928490135,estimated,196140,26.4173
4.0,3.9985,98.09029520738494,2.942708856221548,estimated,206190,25.9307
5.0,5.0001,98.03377472180071,2.941013241654021,estimated,215100,27.2327
6.0,6.0002,97.9773388815124,2.9393201664453716,estimated,224550,27.3433
7.0,6.9987,97.92099332953971,2.9376297998861913,estimated,234570,26.3507
8.0,8.0005,97.86446155791603,2.935933846737481,estimated,245070,27.0133
9.0,9.0003,97.80804264668689,2.9342412794006068,estimated,255090,26.3507
10.0,9.9979,97.75174788189176,2.932552436456753,estimated,264510,25.58
11.0,11.0003,97.69518225214972,2.930855467564492,estimated,273540,26.218
12.0,11.9989,97.6388310571573,2.9291649317147193,estimated,283410,26.9487
13.0,12.9997,97.5823557157309,2.927470671471927,estimated,292830,27.1807
14.0,13.9987,97.52598194865958,2.9257794584597874,estimated,302850,26.2053
15.0,15.0006,97.46944453401619,2.9240833360204856,estimated,312270,27.0307
16.0,16.0001,97.41304255184623,2.9223912765553868,estimated,322260,26.3733
17.0,16.9991,97.3566687847749,2.920700063543247,estimated,331650,26.4093
18.0,17.9986,97.30026680260497,2.9190080040781488,estimated,342030,25.7113
19.0,19.0007,97.2437181019221,2.917311543057663,estimated,350910,27.2693
20.0,19.9989,97.1873894790086,2.915621684370258,estimated,360270,26.91
21.0,21.0007,97.13085770738492,2.9139257312215476,estimated,370260,26.522
22.0,21.9998,97.07447829729388,2.9122343489188163,estimated,379620,27.0573
23.0,22.9986,97.01811581626201,2.91054347448786,estimated,389580,26.278
24.0,24.0004,96.96158404463834,2.9088475213391503,estimated,398940,27.0467
25.0,25.0002,96.9051651334092,2.907154954002276,estimated,408900,26.4493
26.0,25.9979,96.84886472559432,2.90546594176783,estimated,418230,26.5993
27.0,26.9988,96.79238374114819,2.903771512234446,estimated,428190,26.484
28.0,27.9984,96.73597611595852,2.9020792834787557,estimated,437520,25.9587
29.0,29.0008,96.67941048621648,2.9003823145864946,estimated,447480,25.366
30.0,30.0002,96.62301414706627,2.898690424411988,estimated,456300,27.16
31.0,31.0015,96.56651059054121,2.8969953177162364,estimated,465630,27.3753
32.0,32.0009,96.51011425139099,2.8953034275417298,estimated,475560,26.7653
33.0,32.999,96.45379127149721,2.8936137381449165,estimated,484860,26.9747
34.0,34.0015,96.39721999873547,2.8919165999620637,estimated,494820,26.114
35.0,35.0003,96.3408575177036,2.8902257255311077,estimated,504120,27.322
36.0,35.9991,96.28449503667173,2.8885348511001516,estimated,514740,26.3513
37.0,36.9992,96.22805919638341,2.886841775891502,estimated,524040,27.0367
38.0,37.999,96.17164028515427,2.885149208554628,estimated,533970,26.5407
39.0,38.9996,96.11517622976731,2.8834552868930197,estimated,543270,26.5627
40.0,39.9999,96.05872910343956,2.8817618731031867,estimated,553200,26.3033
41.0,41.0012,96.00222554691452,2.8800667664074355,estimated,562500,26.094
42.0,42.0017,95.94576713454728,2.8783730140364185,estimated,572430,25.704
43.0,42.9999,95.88943851163378,2.8766831553490135,estimated,631560,25.1287
44.0,44.0002,95.85762207709455,2.8757286623128366,estimated,727170,24.9253
45.0,45.002,95.83560566011315,2.875068169803394,estimated,751800,26.81
46.0,46.0016,95.81363759222073,2.8744091277666217,estimated,761760,26.392
47.0,47.002,95.79165194284141,2.873749558285242,estimated,771150,25.788
48.0,47.9998,95.76972343329454,2.873091702998836,estimated,780480,25.2587
49.0,49.0018,95.7477026209414,2.872431078628242,estimated,789960,27.1467
50.0,49.999,95.7257872975097,2.871773618925291,estimated,799320,27.2807
51.0,51.0004,95.70377967127176,2.8711133901381527,estimated,809280,26.6967
52.0,51.999,95.68183358023798,2.870455007407139,estimated,818640,27.022
53.0,52.9998,95.6598391401152,2.869795174203456,estimated,830280,26.6487
54.0,54.0001,95.63785568842174,2.869135670652652,estimated,839640,26.8753
55.0,54.9983,95.61591838813142,2.8684775516439425,estimated,849570,26.5467
56.0,55.9999,95.59390636652174,2.8678171909956522,estimated,858930,26.4727
57.0,56.9987,95.57195588011623,2.867158676403487,estimated,868860,26.2587
58.0,57.9994,95.54996363767931,2.8664989091303794,estimated,878190,25.7647
59.0,58.9993,95.52798897672932,2.8658396693018795,estimated,888120,25.4827
60.0,59.9993,95.50601211809345,2.8651803635428035,estimated,896940,27.4413
61.0,61.0008,95.48400229416963,2.864520068825089,estimated,906330,26.488
62.0,61.9979,95.46208916842382,2.8638626750527143,estimated,916170,27.2453
63.0,62.9999,95.44006835607067,2.86320205068212,estimated,926100,25.5753
64.0,63.9989,95.41811347429343,2.862543404228803,estimated,936210,26.7873
65.0,64.9982,95.39615199945861,2.8618845599837583,estimated,945510,26.9767
66.0,65.9996,95.37414437322066,2.86122433119662,estimated,955440,26.4387
67.0,66.9995,95.35216971227065,2.8605650913681195,estimated,965970,27.38
68.0,68.002,95.3301379114882,2.859904137344646,estimated,975900,26.3627
69.0,68.9995,95.30821599499892,2.8592464798499675,estimated,985170,27.1333
70.0,69.9984,95.28626331090754,2.8585878993272265,estimated,995070,26.3907
71.0,71.0006,95.26423810318269,2.8579271430954805,estimated,1006200,26.7693
72.0,71.9988,95.24230080289236,2.857269024086771,estimated,1016100,26.45
73.0,72.9988,95.22032394425649,2.856609718327695,estimated,1025370,26.5887
74.0,73.9983,95.19835807404995,2.8559507422214985,estimated,1036800,26.4007
75.0,74.9993,95.17635923855545,2.8552907771566636,estimated,1046070,26.2427
76.0,76.001,95.15434501925989,2.854630350577797,estimated,1055970,26.4667
77.0,76.9981,95.13243189351407,2.853972956805422,estimated,1065210,26.0113
78.0,77.9993,95.11042866264785,2.8533128598794355,estimated,1075110,25.9267
79.0,79.0018,95.08839686186539,2.8526519058559616,estimated,1084380,25.6947
80.0,79.9988,95.06648593380544,2.851994578014163,estimated,1094250,25.538
81.0,81.0019,95.0444409469078,2.851333228407234,estimated,1103520,25.3027
82.0,82.0008,95.02248826281642,2.850674647884493,estimated,1113390,25.104
83.0,83.0004,95.00052019492401,2.8500156058477204,estimated,1122180,27.6493
84.0,84.0,94.9785521270316,2.849356563810948,estimated,1131630,26.0393
