efc,soh,capacity_ah,type,temperature_c
0.0,92.99666666666666,2.7899,estimated,25.4253
1.0,92.99666666666666,2.7899,estimated,26.9387
2.0,92.99666666666666,2.7899,estimated,26.4053
3.0,92.99666666666666,2.7899,estimated,25.6413
4.0,92.99666666666666,2.7899,estimated,27.328
5.0,92.99666666666666,2.7899,estimated,27.2847
6.0,92.99666666666666,2.7899,estimated,27.57
7.0,92.99666666666666,2.7899,estimated,26.796
8.0,92.99666666666666,2.7899,estimated,27.2587
9.0,92.99666666666666,2.7899,estimated,27.12
10.0,92.99666666666666,2.7899,estimated,26.9587
11.0,92.99666666666666,2.7899,estimated,26.7947
12.0,92.99666666666666,2.7899,estimated,26.056
13.0,92.99666666666666,2.7899,estimated,25.9053
14.0,92.99666666666666,2.7899,estimated,27.7647
15.0,92.99666666666666,2.7899,estimated,27.71
16.0,92.99666666666666,2.7899,estimated,27.1267
17.0,92.99666666666666,2.7899,estimated,27.5507
18.0,92.99666666666666,2.7899,estimated,27.3673
19.0,92.99666666666666,2.7899,estimated,27.4793
20.0,92.99666666666666,2.7899,estimated,26.61
21.0,92.99666666666666,2.7899,estimated,27.35
22.0,92.99666666666666,2.7899,estimated,26.6093
23.0,92.99666666666666,2.7899,estimated,27.1553
24.0,92.99666666666666,2.7899,estimated,27.0887
25.0,92.99666666666666,2.7899,estimated,27.15
26.0,92.99666666666666,2.7899,estimated,26.854
27.0,92.99666666666666,2.7899,estimated,26.6447
28.0,92.99666666666666,2.7899,estimated,26.028
29.0,92.99666666666666,2.7899,estimated,25.8407
30.0,92.99666666666666,2.7899,estimated,25.4873
31.0,92.99666666666666,2.7899,estimated,27.3287
32.0,92.99666666666666,2.7899,estimated,26.0593
33.0,92.99666666666666,2.7899,estimated,27.652
34.0,92.99666666666666,2.7899,estimated,27.6987
35.0,92.99666666666666,2.7899,estimated,27.204
36.0,92.99666666666666,2.7899,estimated,27.452
37.0,92.99666666666666,2.7899,estimated,27.3062
38.0,92.99666666666666,2.7899,estimated,28.038
39.0,92.99666666666666,2.7899,estimated,26.9247
40.0,92.99666666666666,2.7899,estimated,28.2887
41.0,92.99666666666666,2.7899,estimated,27.136
42.0,92.99666666666666,2.7899,estimated,27.36
43.0,92.99666666666666,2.7899,estimated,26.9987
44.0,92.99666666666666,2.7899,estimated,27.5973
45.0,92.99666666666666,2.7899,estimated,26.7927
46.0,92.99666666666666,2.7899,estimated,27.462
47.0,92.99666666666666,2.7899,estimated,26.558
48.0,92.99666666666666,2.7899,estimated,26.736
49.0,92.99666666666666,2.7899,estimated,26.5473
50.0,92.99666666666666,2.7899,estimated,26.568
51.0,92.99666666666666,2.7899,estimated,27.0133
52.0,92.99666666666666,2.7899,estimated,26.5873
53.0,92.99666666666666,2.7899,estimated,26.5693
54.0,92.99666666666666,2.7899,estimated,27.0313
55.0,92.99666666666666,2.7899,estimated,26.2333
56.0,92.99666666666666,2.7899,estimated,26.546
57.0,92.99666666666666,2.7899,estimated,26.18
58.0,92.99666666666666,2.7899,estimated,25.8707
59.0,92.99666666666666,2.7899,estimated,25.842
60.0,92.99666666666666,2.7899,estimated,25.662
61.0,92.99666666666666,2.7899,estimated,25.6893
62.0,92.99666666666666,2.7899,estimated,27.6967
63.0,92.99666666666666,2.7899,estimated,26.3467
64.0,92.99666666666666,2.7899,estimated,27.8087
65.0,92.99666666666666,2.7899,estimated,26.296
66.0,92.99666666666666,2.7899,estimated,27.706
67.0,92.99666666666666,2.7899,estimated,27.0653
68.0,92.99666666666666,2.7899,estimated,27.0707
69.0,92.99666666666666,2.7899,estimated,27.3173
70.0,92.99666666666666,2.7899,estimated,27.2433
71.0,92.99666666666666,2.7899,estimated,28.1913
72.0,92.99666666666666,2.7899,estimated,27.622
73.0,92.99666666666666,2.7899,estimated,27.9987
74.0,92.99666666666666,2.7899,estimated,27.4927
75.0,92.99666666666666,2.7899,estimated,27.3647
76.0,92.99666666666666,2.7899,estimated,27.1173
77.0,92.99666666666666,2.7899,estimated,27.9167
78.0,92.99666666666666,2.7899,estimated,27.6713
79.0,92.99666666666666,2.7899,estimated,27.6653
80.0,92.99666666666666,2.7899,estimated,26.8727
81.0,92.99666666666666,2.7899,estimated,27.042
82.0,92.99666666666666,2.7899,estimated,27.1553
83.0,92.99666666666666,2.7899,estimated,27.4013
84.0,92.99666666666666,2.7899,estimated,26.6873
85.0,92.99666666666666,2.7899,estimated,27.3647
86.0,92.99666666666666,2.7899,estimated,26.556
87.0,92.99666666666666,2.7899,estimated,27.3313
88.0,92.99666666666666,2.7899,estimated,26.652
89.0,92.99666666666666,2.7899,estimated,27.2647
90.0,92.99666666666666,2.7899,estimated,26.6373
91.0,92.99666666666666,2.7899,estimated,27.3907
92.0,92.99666666666666,2.7899,estimated,26.9113
93.0,92.99666666666666,2.7899,estimated,27.3593
94.0,92.99666666666666,2.7899,estimated,26.4613
95.0,92.99666666666666,2.7899,estimated,27.4727
96.0,92.99666666666666,2.7899,estimated,26.6513
97.0,92.99666666666666,2.7899,estimated,27.2413
98.0,92.99666666666666,2.7899,estimated,26.4647
99.0,92.99666666666666,2.7899,estimated,27.4253
100.0,92.99666666666666,2.7899,estimated,26.6947
101.0,92.99666666666666,2.7899,estimated,27.526
102.0,92.99666666666666,2.7899,estimated,26.6007
103.0,92.99666666666666,2.7899,estimated,27.448
104.0,92.99666666666666,2.7899,estimated,26.3833
105.0,92.99666666666666,2.7899,estimated,27.376
106.0,92.99666666666666,2.7899,estimated,26.8247
107.0,92.99666666666666,2.7899,estimated,27.2507
108.0,92.99666666666666,2.7899,estimated,26.704
109.0,92.99666666666666,2.7899,estimated,27.5973
110.0,92.99666666666666,2.7899,estimated,26.74
111.0,92.99666666666666,2.7899,estimated,27.204
112.0,92.99666666666666,2.7899,estimated,26.6033
113.0,92.99666666666666,2.7899,estimated,27.6553
114.0,92.99666666666666,2.7899,estimated,26.704
115.0,92.99666666666666,2.7899,estimated,27.31
116.0,92.99666666666666,2.7899,estimated,26.916
117.0,92.99666666666666,2.7899,estimated,27.42
118.0,92.99666666666666,2.7899,estimated,26.9947
119.0,92.99666666666666,2.7899,estimated,27.3833
120.0,92.99666666666666,2.7899,estimated,27.0427
121.0,92.99666666666666,2.7899,estimated,27.3793
122.0,92.99666666666666,2.7899,estimated,26.9847
123.0,92.99666666666666,2.7899,estimated,27.52
124.0,92.99666666666666,2.7899,estimated,26.9713
125.0,92.99666666666666,2.7899,estimated,26.106
126.0,92.99666666666666,2.7899,estimated,26.1227
127.0,92.99666666666666,2.7899,estimated,26.318
128.0,92.99666666666666,2.7899,estimated,26.2547
129.0,92.99666666666666,2.7899,estimated,26.2647
130.0,92.99666666666666,2.7899,estimated,26.4733
131.0,92.99666666666666,2.7899,estimated,26.5047
132.0,92.99666666666666,2.7899,estimated,26.4133
133.0,92.99666666666666,2.7899,estimated,26.446
134.0,92.99666666666666,2.7899,estimated,26.5113
