efc,soh,capacity_ah,type,temperature_c
0.0,92.59333333333333,2.7778,estimated,25.2927
1.0,92.59333333333333,2.7778,estimated,26.7227
2.0,92.59333333333333,2.7778,estimated,26.3687
3.0,92.59333333333333,2.7778,estimated,25.4027
4.0,92.59333333333333,2.7778,estimated,26.3393
5.0,92.59333333333333,2.7778,estimated,27.222
6.0,92.59333333333333,2.7778,estimated,27.2553
7.0,92.59333333333333,2.7778,estimated,26.5713
8.0,92.59333333333333,2.7778,estimated,26.7953
9.0,92.59333333333333,2.7778,estimated,25.5307
10.0,92.59333333333333,2.7778,estimated,26.504
11.0,92.59333333333333,2.7778,estimated,26.4287
12.0,92.59333333333333,2.7778,estimated,25.9173
13.0,92.59333333333333,2.7778,estimated,25.8247
14.0,92.59333333333333,2.7778,estimated,25.562
15.0,92.59333333333333,2.7778,estimated,26.3707
16.0,92.59333333333333,2.7778,estimated,27.2693
17.0,92.59333333333333,2.7778,estimated,27.08
18.0,92.59333333333333,2.7778,estimated,26.866
19.0,92.59333333333333,2.7778,estimated,27.2087
20.0,92.59333333333333,2.7778,estimated,26.3793
21.0,92.59333333333333,2.7778,estimated,27.058
22.0,92.59333333333333,2.7778,estimated,26.4847
23.0,92.59333333333333,2.7778,estimated,27.3027
24.0,92.59333333333333,2.7778,estimated,26.5867
25.0,92.59333333333333,2.7778,estimated,26.8487
26.0,92.59333333333333,2.7778,estimated,26.7693
27.0,92.59333333333333,2.7778,estimated,25.5647
28.0,92.59333333333333,2.7778,estimated,26.4047
29.0,92.59333333333333,2.7778,estimated,26.166
30.0,92.59333333333333,2.7778,estimated,26.1747
31.0,92.59333333333333,2.7778,estimated,25.826
32.0,92.59333333333333,2.7778,estimated,25.6367
33.0,92.59333333333333,2.7778,estimated,25.3533
34.0,92.59333333333333,2.7778,estimated,25.3
35.0,92.59333333333333,2.7778,estimated,27.2153
36.0,92.59333333333333,2.7778,estimated,25.924
37.0,92.59333333333333,2.7778,estimated,27.3487
38.0,92.59333333333333,2.7778,estimated,27.2133
39.0,92.59333333333333,2.7778,estimated,27.412
40.0,92.59333333333333,2.7778,estimated,27.5433
