efc,soh,capacity_ah,type,temperature_c
0.0,92.52,2.7756,estimated,25.3873
1.0,92.52,2.7756,estimated,27.27
2.0,92.52,2.7756,estimated,26.44
3.0,92.52,2.7756,estimated,26.266
4.0,92.52,2.7756,estimated,26.406
5.0,92.52,2.7756,estimated,27.434
6.0,92.52,2.7756,estimated,27.2673
7.0,92.52,2.7756,estimated,26.5887
8.0,92.52,2.7756,estimated,27.626
9.0,92.52,2.7756,estimated,26.7253
10.0,92.52,2.7756,estimated,26.8673
11.0,92.52,2.7756,estimated,26.5093
12.0,92.52,2.7756,estimated,26.348
13.0,92.52,2.7756,estimated,26.0547
14.0,92.52,2.7756,estimated,25.6953
15.0,92.52,2.7756,estimated,26.7967
16.0,92.52,2.7756,estimated,27.2513
17.0,92.52,2.7756,estimated,27.6933
18.0,92.52,2.7756,estimated,26.7773
19.0,92.52,2.7756,estimated,27.7307
20.0,92.52,2.7756,estimated,26.5907
21.0,92.52,2.7756,estimated,27.3493
22.0,92.52,2.7756,estimated,26.616
23.0,92.52,2.7756,estimated,27.462
24.0,92.52,2.7756,estimated,26.72
25.0,92.52,2.7756,estimated,26.9667
26.0,92.52,2.7756,estimated,26.6067
27.0,92.52,2.7756,estimated,26.7173
28.0,92.52,2.7756,estimated,26.776
29.0,92.52,2.7756,estimated,26.5153
30.0,92.52,2.7756,estimated,26.3573
31.0,92.52,2.7756,estimated,26.388
32.0,92.52,2.7756,estimated,26.0733
33.0,92.52,2.7756,estimated,25.6313
34.0,92.52,2.7756,estimated,26.1207
35.0,92.52,2.7756,estimated,27.57
36.0,92.52,2.7756,estimated,26.6713
37.0,92.52,2.7756,estimated,27.2513
38.0,92.52,2.7756,estimated,27.44
39.0,92.52,2.7756,estimated,27.1873
40.0,92.52,2.7756,estimated,27.5873
41.0,92.52,2.7756,estimated,26.7847
42.0,92.52,2.7756,estimated,27.606
43.0,92.52,2.7756,estimated,26.7907
44.0,92.52,2.7756,estimated,27.3653
45.0,92.52,2.7756,estimated,26.4867
46.0,92.52,2.7756,estimated,27.5487
47.0,92.52,2.7756,estimated,26.5947
48.0,92.52,2.7756,estimated,27.1727
49.0,92.52,2.7756,estimated,26.642
