section,representative_value
0,3.0
5,2.690625
10,2.6232499999999996
15,2.6014999999999997
20,2.589625
25,2.57625
30,2.5691249999999997
35,2.561375
40,2.8762
45,2.6253749999999996
50,2.5883749999999996
55,2.561
60,2.5493749999999995
65,2.5759999999999996
70,2.543
75,2.52775
80,2.5233749999999997
85,2.5217499999999995
90,2.5168749999999998
95,2.51375
100,2.5115
105,2.50775
110,2.50375
115,2.5004999999999997
120,2.499625
125,2.49625
130,2.52675
135,2.5012499999999998
140,2.49675
145,2.4939999999999998
150,2.490875
155,2.489125
160,2.4873749999999997
165,2.4844999999999997
170,2.4823749999999998
175,2.4778749999999996
180,2.476125
185,2.477125
190,2.7778
195,2.5386249999999997
200,2.510125
205,2.494625
210,2.4826249999999996
215,2.47425
220,2.4695
225,2.4654999999999996
230,2.462875
235,2.459125
240,2.457
245,2.454875
250,2.4531249999999996
255,2.451
260,2.4495
265,2.4475
270,2.445
275,2.4425
280,2.44175
285,2.441125
290,2.4376249999999997
295,2.463625
300,2.4351249999999998
305,2.433875
310,2.4335
315,2.4314999999999998
320,2.4305
325,2.428875
330,2.4277499999999996
335,2.431
340,2.425125
345,2.3772499999999996
350,2.37325
355,2.4191249999999997
360,2.7084
365,2.5532500000000002
370,2.469875
375,2.4499999999999997
380,2.4379999999999997
385,2.4292499999999997
390,2.42325
395,2.421
400,2.417125
405,2.41525
410,2.411
415,2.408375
420,2.4074999999999998
425,2.4055
430,2.403125
435,2.401875
440,2.399625
445,2.398625
450,2.3976249999999997
455,2.395625
460,2.3943749999999997
465,2.3935
470,2.3922499999999998
475,2.390625
480,2.3892499999999997
485,2.388125
490,2.3871249999999997
495,2.38575
500,2.384375
505,2.383
510,2.3823749999999997
515,2.3815
520,2.3801249999999996
525,2.3791249999999997
530,2.653
535,2.4292499999999997
540,2.41325
545,2.4042499999999998
550,2.396375
555,2.3902499999999995
560,2.3863749999999997
565,2.383375
570,2.378375
575,2.377
580,2.375375
585,2.372375
590,2.370375
595,2.369375
600,2.3674999999999997
605,2.3655
610,2.3648749999999996
615,2.3743749999999997
620,2.3594999999999997
625,2.3594999999999997
630,2.359
635,2.3573749999999998
640,2.35675
645,2.356
650,2.3543749999999997
655,2.3535
660,2.3522499999999997
665,2.350625
670,2.3499999999999996
675,2.3485
680,2.3473749999999995
685,2.3465
690,2.346
695,2.3453749999999998
700,3.2398749999999996
705,2.6092
710,2.39125
715,2.3776249999999997
720,2.369375
725,2.3646249999999998
730,2.3591249999999997
735,2.356125
740,2.3521249999999996
745,2.3482499999999997
750,2.34725
755,2.345875
760,2.3434999999999997
765,2.3409999999999997
770,2.3391249999999997
775,2.3375
780,2.336375
785,2.334625
790,2.3333749999999998
795,2.332
800,2.330875
805,2.329125
810,2.3282499999999997
815,2.327375
820,2.3242499999999997
825,2.327375
830,2.32375
835,2.32225
840,2.3217499999999998
845,2.3206249999999997
850,2.319
855,2.318
860,2.317375
865,2.316375
870,2.315625
875,2.573
880,2.39575
885,2.3566249999999997
890,2.3465
895,2.3391249999999997
900,2.335
905,2.330875
910,2.327875
915,2.3257499999999998
920,2.3234999999999997
925,2.320875
930,2.3191249999999997
935,2.316
940,2.315125
945,2.3143749999999996
950,2.3121249999999995
955,2.3114999999999997
960,2.3093749999999997
965,2.3082499999999997
970,2.30725
975,2.305625
980,2.3042499999999997
985,2.302625
990,2.3017499999999997
995,2.3005
1000,2.2994999999999997
1005,2.298875
1010,2.29725
1015,2.296375
1020,2.2955
1025,2.2944999999999998
1030,2.294625
1035,2.2914999999999996
1040,2.290375
1045,2.289125
1050,2.5418
1055,2.34225
1060,2.32475
1065,2.3143749999999996
1070,2.30975
1075,2.305
1080,2.300875
1085,2.2987499999999996
1090,2.295125
1095,2.2929999999999997
1100,2.2908749999999998
1105,2.288125
1110,2.2855
1115,2.283625
1120,2.2809999999999997
1125,2.280125
1130,2.278
1135,2.276125
1140,2.27475
1145,2.273125
1150,2.2714999999999996
1155,2.270375
1160,2.2689999999999997
1165,2.26625
1170,2.2655
1175,2.264125
1180,2.262
1185,2.261125
1190,2.25975
1195,2.2575
1200,2.257375
1205,2.255125
1210,2.2552499999999998
1215,2.2541249999999997
1220,2.25275
1225,2.5038
1230,2.295125
1235,2.279625
1240,2.2737499999999997
1245,2.267625
1250,2.2634999999999996
1255,2.2613749999999997
1260,2.2592499999999998
1265,2.25675
1270,2.255375
1275,2.2511249999999996
1280,2.250375
