section,representative_value
2125,1.918625
2130,1.915625
2135,1.91325
2140,1.909625
2145,1.907625
2150,1.90775
2155,1.904375
2160,1.901375
2165,1.9
2170,1.895875
2175,1.892625
2180,1.8915
2185,1.889
2190,1.8885
2195,1.88475
2200,1.8825
2205,1.8825
2210,1.903625
2215,1.8795
2220,1.866625
2225,1.85725
2230,1.855875
2235,1.853125
2240,1.848625
2245,1.841625
2250,1.836875
2255,1.839625
2260,1.832125
2265,1.82725
2270,1.830875
2275,1.82525
2280,1.826875
2285,1.820375
2290,1.81675
2295,1.81775
2300,1.81225
2305,1.81075
2310,1.808375
2315,1.806
2320,1.811
2325,1.802125
2330,1.80225
2335,1.8035
2340,1.79825
2345,1.789875
2350,1.7867499999999998
2355,1.783625
2360,1.783625
2365,1.791375
2370,1.766625
2375,1.756
2380,1.7505
2385,1.743375
2390,1.738625
2395,1.73525
2400,1.731
2405,1.7285
2410,1.723625
2415,1.721125
2420,1.716875
2425,1.7148749999999997
2430,1.712125
2435,1.7094999999999998
2440,1.7072499999999995
2445,1.7046249999999998
2450,1.70275
2455,1.69925
2460,1.6945
2465,1.692375
2470,1.690875
2475,1.687375
2480,1.684875
2485,1.682125
2490,1.6785
2495,1.6771249999999998
2500,1.672125
