section,representative_value
0,2.662375
5,2.662375
10,2.624375
15,2.602125
20,2.5865
25,2.5785
30,2.5693749999999995
35,2.5627499999999994
40,2.5627499999999994
45,2.5815624999999995
50,2.600375
55,2.567875
60,2.553875
65,2.544
70,2.538125
75,2.540875
80,2.572625
85,2.525625
90,2.52
95,2.51975
100,2.5141249999999995
105,2.512625
110,2.509125
115,2.506875
120,2.5045
125,2.502
130,2.49175
135,2.4915
140,2.491
145,2.4905
150,2.488875
155,2.488375
160,2.48725
165,2.485
170,2.48375
175,2.481125
180,2.4805
185,2.4805
190,2.486
195,2.4915
200,2.497
205,2.48625
210,2.478875
215,2.472875
220,2.47025
225,2.46675
230,2.46525
235,2.46225
240,2.46
245,2.4585
250,2.45625
255,2.453375
260,2.45125
265,2.450375
270,2.448625
275,2.447
280,2.445125
285,2.444
290,2.4425
295,2.4405
300,2.438875
305,2.438
310,2.436375
315,2.435375
320,2.435
325,2.43375
330,2.431
335,2.4295
340,2.426833333333333
345,2.424166666666667
350,2.4215
355,2.424375
360,2.424375
365,2.4383125
370,2.45225
375,2.441375
380,2.4325
385,2.427125
390,2.423875
395,2.42
400,2.418
405,2.414375
410,2.4125
415,2.410125
420,2.408875
425,2.408
430,2.405875
435,2.40375
440,2.4025
445,2.4
450,2.398875
455,2.397125
460,2.395375
465,2.395
470,2.3935
475,2.392375
480,2.39125
485,2.39
490,2.3885
495,2.386875
500,2.386125
505,2.384375
510,2.38425
515,2.3826249999999995
520,2.380625
525,2.380625
530,2.401
535,2.421375
540,2.40875
545,2.401625
550,2.394875
555,2.39
560,2.386125
565,2.3826249999999995
570,2.38
575,2.378625
580,2.376875
585,2.374625
590,2.3725
595,2.371375
600,2.370625
605,2.367875
610,2.365875
615,2.36475
620,2.364125
625,2.363375
630,2.362125
635,2.360875
640,2.359375
645,2.359125
650,2.357875
655,2.35575
660,2.355125
665,2.353625
670,2.35275
675,2.351875
680,2.35075
685,2.34975
690,2.34925
695,2.34775
700,2.34775
705,2.406
710,2.384375
715,2.373125
720,2.367125
725,2.362375
730,2.359375
735,2.356125
740,2.353
745,2.349875
750,2.347625
755,2.345375
760,2.343125
765,2.341
770,2.34
775,2.339125
780,2.33775
785,2.33625
790,2.334875
795,2.3335
800,2.3325
805,2.331
810,2.32975
815,2.329
820,2.327875
825,2.32875
830,2.3255
835,2.324875
840,2.324125
845,2.3235
850,2.321875
855,2.320875
860,2.321
865,2.319
870,2.318375
875,2.318375
880,2.3685
885,2.351125
890,2.344625
895,2.338
900,2.3345
905,2.33175
910,2.328375
915,2.325875
920,2.323375
925,2.321375
930,2.319375
935,2.317125
940,2.315125
945,2.313125
950,2.312375
955,2.3105
960,2.308875
965,2.30875
970,2.306625
975,2.30525
980,2.3035
985,2.30275
990,2.301125
995,2.300125
1000,2.30025
1005,2.299
1010,2.298125
1015,2.29675
1020,2.29575
1025,2.29325
1030,2.292125
1035,2.289375
1040,2.289375
1045,2.287
1050,2.287
1055,2.330125
1060,2.31575
1065,2.307875
1070,2.3035
1075,2.3
1080,2.29575
1085,2.2925
1090,2.291125
1095,2.28875
1100,2.28625
1105,2.284
1110,2.28225
1115,2.279125
1120,2.277375
1125,2.275
1130,2.273625
1135,2.272125
1140,2.270375
1145,2.26875
1150,2.2675
1155,2.26625
1160,2.265625
1165,2.26475
1170,2.2635
1175,2.2625
1180,2.260625
1185,2.259625
1190,2.257875
1195,2.25675
1200,2.2555
1205,2.255125
1210,2.253875
1215,2.252125
1220,2.252125
1225,2.2689375
1230,2.28575
1235,2.27675
1240,2.27175
1245,2.267625
1250,2.26325
1255,2.260875
1260,2.2585
1265,2.2565
1270,2.256125
1275,2.25275
1280,2.251625
1285,2.249375
1290,2.249375
1295,2.247875
1300,2.244625
1305,2.244
1310,2.2425
1315,2.24175
1320,2.239875
1325,2.238875
1330,2.236875
1335,2.236625
1340,2.234625
1345,2.23475
