efc,soh,capacity_ah,type,temperature_c
0.0,95.94333333333333,2.8783,estimated,25.7547
1.0,95.94333333333333,2.8783,estimated,25.106
2.0,95.94333333333333,2.8783,estimated,27.1413
3.0,95.94333333333333,2.8783,estimated,27.9867
4.0,95.94333333333333,2.8783,estimated,27.2387
5.0,95.94333333333333,2.8783,estimated,26.84
6.0,95.94333333333333,2.8783,estimated,26.05
7.0,95.94333333333333,2.8783,estimated,27.5587
8.0,95.94333333333333,2.8783,estimated,27.4833
9.0,95.94333333333333,2.8783,estimated,26.85
10.0,95.94333333333333,2.8783,estimated,27.3973
11.0,95.94333333333333,2.8783,estimated,26.6627
12.0,95.94333333333333,2.8783,estimated,26.6507
13.0,95.94333333333333,2.8783,estimated,26.1287
14.0,95.94333333333333,2.8783,estimated,25.6153
15.0,95.94333333333333,2.8783,estimated,26.9307
16.0,95.94333333333333,2.8783,estimated,27.242
17.0,95.94333333333333,2.8783,estimated,27.272
18.0,95.94333333333333,2.8783,estimated,26.596
19.0,95.94333333333333,2.8783,estimated,27.264
20.0,95.94333333333333,2.8783,estimated,26.5613
21.0,95.94333333333333,2.8783,estimated,26.8727
22.0,95.94333333333333,2.8783,estimated,26.5547
23.0,95.94333333333333,2.8783,estimated,26.502
24.0,95.94333333333333,2.8783,estimated,25.684
25.0,95.94333333333333,2.8783,estimated,27.3647
26.0,95.94333333333333,2.8783,estimated,27.6267
27.0,95.94333333333333,2.8783,estimated,27.314
28.0,95.94333333333333,2.8783,estimated,27.486
29.0,95.94333333333333,2.8783,estimated,26.5213
30.0,95.94333333333333,2.8783,estimated,27.176
31.0,95.94333333333333,2.8783,estimated,26.9793
32.0,95.94333333333333,2.8783,estimated,26.7953
33.0,95.94333333333333,2.8783,estimated,26.7333
34.0,95.94333333333333,2.8783,estimated,26.9987
35.0,95.94333333333333,2.8783,estimated,26.1447
36.0,95.94333333333333,2.8783,estimated,25.5747
37.0,95.94333333333333,2.8783,estimated,25.8147
38.0,95.94333333333333,2.8783,estimated,27.542
39.0,95.94333333333333,2.8783,estimated,25.828
40.0,95.93674474619688,2.8781023423859065,estimated,25.424
41.0,95.91601520659356,2.8774804561978065,estimated,26.476
42.0,95.89522750796125,2.876856825238838,estimated,26.04
43.0,95.87444604065351,2.8762333812196053,estimated,26.2953
44.0,95.85366041912941,2.8756098125738823,estimated,27.354
45.0,95.83286233495625,2.8749858700486874,estimated,27.86
46.0,95.81211825559568,2.8743635476678704,estimated,26.9653
47.0,95.79137209912693,2.8737411629738077,estimated,27.4733
48.0,95.77061763422549,2.8731185290267645,estimated,26.798
49.0,95.74983824402591,2.872495147320777,estimated,27.29
50.0,95.72904846828544,2.8718714540485633,estimated,26.6987
51.0,95.70830646603305,2.8712491939809914,estimated,25.8407
52.0,95.68749176499448,2.8706247529498343,estimated,25.6633
53.0,95.66668952660496,2.8700006857981486,estimated,27.956
54.0,95.64597868097522,2.8693793604292566,estimated,27.8067
55.0,95.62522006185739,2.868756601855722,estimated,27.7193
56.0,95.60440743792701,2.86813222313781,estimated,27.296
57.0,95.58366543567462,2.8675099630702383,estimated,26.9887
58.0,95.56290058523227,2.866887017556968,estimated,27.83
59.0,95.54211496370817,2.866263448911245,estimated,26.6047
60.0,95.52132311085954,2.865639693325786,estimated,27.3093
61.0,95.50059980258074,2.865017994077422,estimated,26.7493
62.0,95.47976848467674,2.8643930545403022,estimated,26.9747
63.0,95.45905763904699,2.8637717291714098,estimated,26.8707
64.0,95.43828448017196,2.8631485344051586,estimated,27.1687
65.0,95.41745731648432,2.8625237194945297,estimated,26.5273
66.0,95.39668000339292,2.8619004001017876,estimated,26.496
67.0,95.37592553849147,2.861277766154744,estimated,26.188
68.0,95.35515653383277,2.8606546960149832,estimated,25.6893
69.0,95.33441660868856,2.8600324982606566,estimated,25.412
70.0,95.31361852451539,2.859408555735462,estimated,27.6547
71.0,95.29285367407306,2.8587856102221916,estimated,26.9913
72.0,95.27205143568355,2.8581615430705063,estimated,27.29
73.0,95.25131774186384,2.8575395322559154,estimated,27.528
74.0,95.23055081431335,2.8569165244294004,estimated,27.2427
75.0,95.20978596387101,2.85629357891613,estimated,27.5993
76.0,95.18901280499595,2.8556703841498785,estimated,26.6327
77.0,95.16826041720269,2.8550478125160805,estimated,27.99
78.0,95.14745194748863,2.854423558424659,estimated,26.9973
79.0,95.12665178620729,2.8537995535862186,estimated,27.866
80.0,95.1058827815486,2.853176483446458,estimated,27.0687
81.0,95.08515324194526,2.852554597258358,estimated,27.682
82.0,95.06438008307022,2.8519314024921067,estimated,26.776
83.0,95.043640157926,2.85130920473778,estimated,27.2827
84.0,95.02283168821197,2.8506849506463587,estimated,26.968
85.0,95.00202114138973,2.850060634241692,estimated,27.3033
86.0,94.98130406443546,2.849439121933064,estimated,27.0107
87.0,94.96054336820947,2.848816301046284,estimated,26.7093
88.0,94.93972243584636,2.848191673075391,estimated,27.1787
89.0,94.9189700480531,2.847569101441593,estimated,26.504
90.0,94.89822181447617,2.846946654434285,estimated,26.8133
91.0,94.87746527246654,2.846323958173996,estimated,27.384
92.0,94.85669626780785,2.8457008880342354,estimated,26.3587
93.0,94.83585456436298,2.8450756369308894,estimated,26.2587
94.0,94.81512087054328,2.8444536261162985,estimated,26.4707
95.0,94.79436225142548,2.8438308675427644,estimated,26.52
96.0,94.77361194074038,2.8432083582222116,estimated,25.7147
97.0,94.75282839632445,2.8425848518897334,estimated,25.7
