efc,soh,capacity_ah,type,temperature_c
0.0,95.75333333333333,2.8726,estimated,25.518
1.0,95.75333333333333,2.8726,estimated,25.4713
2.0,95.75333333333333,2.8726,estimated,27.168
3.0,95.75333333333333,2.8726,estimated,26.5987
4.0,95.75333333333333,2.8726,estimated,27.0507
5.0,95.75333333333333,2.8726,estimated,26.6447
6.0,95.75333333333333,2.8726,estimated,25.5253
7.0,95.75333333333333,2.8726,estimated,27.3413
8.0,95.75333333333333,2.8726,estimated,26.8833
9.0,95.75333333333333,2.8726,estimated,27.4173
10.0,95.75333333333333,2.8726,estimated,26.6493
11.0,95.75333333333333,2.8726,estimated,26.6373
12.0,95.75333333333333,2.8726,estimated,26.3167
13.0,95.75333333333333,2.8726,estimated,25.6127
14.0,95.75333333333333,2.8726,estimated,26.3773
15.0,95.75333333333333,2.8726,estimated,27.254
16.0,95.75333333333333,2.8726,estimated,27.354
17.0,95.75333333333333,2.8726,estimated,26.396
18.0,95.75333333333333,2.8726,estimated,27.3047
19.0,95.75333333333333,2.8726,estimated,26.6653
20.0,95.75333333333333,2.8726,estimated,26.7953
21.0,95.75333333333333,2.8726,estimated,26.154
22.0,95.75333333333333,2.8726,estimated,25.9447
23.0,95.75333333333333,2.8726,estimated,25.9613
24.0,95.75333333333333,2.8726,estimated,27.278
25.0,95.75333333333333,2.8726,estimated,27.39
26.0,95.75333333333333,2.8726,estimated,26.7733
27.0,95.75333333333333,2.8726,estimated,27.4873
28.0,95.75333333333333,2.8726,estimated,25.1527
29.0,95.75333333333333,2.8726,estimated,27.1153
30.0,95.75333333333333,2.8726,estimated,26.8
31.0,95.75333333333333,2.8726,estimated,26.7467
32.0,95.75333333333333,2.8726,estimated,26.518
33.0,95.75333333333333,2.8726,estimated,26.2367
34.0,95.75333333333333,2.8726,estimated,25.7147
35.0,95.75333333333333,2.8726,estimated,27.492
36.0,95.75333333333333,2.8726,estimated,27.1553
37.0,95.75333333333333,2.8726,estimated,27.3513
38.0,95.75333333333333,2.8726,estimated,27.4647
39.0,95.75333333333333,2.8726,estimated,26.6733
40.0,95.75333333333333,2.8726,estimated,27.4
41.0,95.75333333333333,2.8726,estimated,26.6253
42.0,95.75333333333333,2.8726,estimated,27.3367
43.0,95.75333333333333,2.8726,estimated,25.4227
44.0,95.74168213092797,2.872250463927839,estimated,25.736
45.0,95.71923104782759,2.8715769314348276,estimated,27.4927
46.0,95.69674627125583,2.870902388137675,estimated,27.362
47.0,95.67433112785827,2.870229933835748,estimated,26.5107
48.0,95.65187105983219,2.869556131794966,estimated,27.168
49.0,95.62941997673181,2.8688825993019544,estimated,26.8307
50.0,95.60693744639148,2.8682081233917445,estimated,26.948
51.0,95.5844683934397,2.867534051803191,estimated,26.2247
52.0,95.5619970942565,2.866859912827695,estimated,27.3047
53.0,95.53950782522188,2.8661852347566565,estimated,27.1773
54.0,95.5171084054443,2.8655132521633293,estimated,27.364
55.0,95.49458993540117,2.864837698062035,estimated,27.6193
56.0,95.4721141437551,2.864163424312653,estimated,26.726
57.0,95.44966530688616,2.863489959206585,estimated,27.4613
58.0,95.42718053031439,2.8628154159094317,estimated,26.602
59.0,95.4047631406854,2.862142894220562,estimated,27.2867
60.0,95.38227611788223,2.8614682835364667,estimated,26.6087
61.0,95.35986322071608,2.8607958966214824,estimated,26.7
62.0,95.33733576574724,2.860120072972417,estimated,26.8973
63.0,95.31494533089536,2.8594483599268607,estimated,26.5267
64.0,95.29241562969509,2.8587724688908525,estimated,26.5687
65.0,95.27000497876038,2.8581001493628113,estimated,25.8553
66.0,95.24753817204002,2.8574261451612006,estimated,25.9607
67.0,95.22506911908825,2.8567520735726473,estimated,26.8387
68.0,95.20258883497932,2.85607766504938,estimated,26.7367
69.0,95.18016470665606,2.855404941199682,estimated,27.3167
70.0,95.15770688486141,2.8547312065458423,estimated,27.7893
71.0,95.13519739974397,2.854055921992319,estimated,27.2047
72.0,95.11273508548646,2.853382052564594,estimated,27.412
73.0,95.09028624861752,2.8527085874585256,estimated,26.0787
74.0,95.06786661275711,2.8520359983827133,estimated,27.5293
75.0,95.04539306734246,2.851361792020274,estimated,26.61
76.0,95.02289481338217,2.850686844401465,estimated,27.548
77.0,95.00039431319041,2.8500118293957124,estimated,26.5753
78.0,94.97796119994145,2.8493388359982434,estimated,27.472
79.0,94.95547193090684,2.8486641579272054,estimated,26.6337
80.0,94.93304780258357,2.847991434077507,estimated,27.0733
81.0,94.91056302601181,2.8473168907803545,estimated,26.882
82.0,94.88812317406857,2.846643695222057,estimated,27.2287
83.0,94.86568556835677,2.8459705670507027,estimated,26.7827
84.0,94.84321202294211,2.8452963606882635,estimated,26.7053
85.0,94.8207474624532,2.844622423873596,estimated,26.8227
86.0,94.79827391703856,2.843948217511157,estimated,26.6407
87.0,94.77577566307825,2.8432732698923475,estimated,26.562
88.0,94.75339870561493,2.8426019611684477,estimated,26.4053
89.0,94.7308734968775,2.841926204906325,estimated,26.496
90.0,94.70847632333134,2.84125428969994,estimated,26.3713
91.0,94.68593763720537,2.840578129116161,estimated,26.1767
92.0,94.66354270989065,2.8399062812967193,estimated,25.9047
93.0,94.6410152549218,2.8392304576476537,estimated,26.03
94.0,94.61861134268136,2.8385583402804406,estimated,25.7173
95.0,94.59612207364674,2.837883662209402,estimated,25.594
96.0,94.57366649808351,2.8372099949425054,estimated,27.4493
97.0,94.55119070643747,2.836535721193124,estimated,26.644
98.0,94.52869020624571,2.8358607061873715,estimated,27.3353
99.0,94.50628404777386,2.8351885214332158,estimated,27.3693
100.0,94.48384868829348,2.834515460648804,estimated,27.354
101.0,94.46132123332461,2.8338396369997385,estimated,27.3707
102.0,94.43891732108418,2.8331675196325254,estimated,27.316
103.0,94.4163786349582,2.8324913590487464,estimated,27.5147
104.0,94.39399269256917,2.8318197807770753,estimated,27.0353
105.0,94.37146973006318,2.8311440919018955,estimated,27.6893
106.0,94.3490523404342,2.830471570213026,estimated,27.0693
107.0,94.32657654878814,2.8297972964636444,estimated,27.5893
108.0,94.30409177221638,2.8291227531664913,estimated,27.2607
109.0,94.28162721172745,2.8284488163518238,estimated,27.77
110.0,94.25922779194987,2.827776833758496,estimated,26.9767
